reference,model,mean_pred,prevalence,cal_slope,cal_intercept,calibration_in_the_large,ECE,brier,brier_reliability,brier_resolution,brier_uncertainty
R1_report_full_test,Current-only,0.4918,0.2245,0.691,-1.2409,-1.2568,0.2675,0.2457,0.0745,0.0032,0.1741
R1_report_full_test,Difference-only,0.4755,0.2245,0.8657,-1.2273,-1.2381,0.2511,0.231,0.0669,0.009,0.1741
R1_report_full_test,Temporal,0.4751,0.2245,0.892,-1.2366,-1.2473,0.2506,0.2294,0.0661,0.0107,0.1741
R2_report_same500,Current-only,0.4846,0.224,0.9527,-1.2237,-1.2252,0.2606,0.2386,0.0704,0.0072,0.1738
R2_report_same500,Difference-only,0.4745,0.224,0.8354,-1.2244,-1.2367,0.2507,0.2323,0.0689,0.0098,0.1738
R2_report_same500,Temporal,0.4732,0.224,0.8881,-1.2294,-1.2391,0.2495,0.2297,0.0658,0.0107,0.1738
R3_expert_500,Current-only,0.4846,0.3,1.2696,-0.8199,-0.817,0.1846,0.2331,0.0351,0.0121,0.21
R3_expert_500,Difference-only,0.4745,0.3,1.925,-0.8784,-0.8116,0.1801,0.2041,0.0363,0.0396,0.21
R3_expert_500,Temporal,0.4732,0.3,1.9764,-0.8896,-0.8115,0.1765,0.2,0.0358,0.0451,0.21
