reference,model,bin,n,mean_pred,obs_freq
R1_report_full_test,Current-only,1,8,0.1819,0.125
R1_report_full_test,Current-only,2,177,0.2675,0.1186
R1_report_full_test,Current-only,3,887,0.3593,0.1736
R1_report_full_test,Current-only,4,1750,0.454,0.2029
R1_report_full_test,Current-only,5,1679,0.5461,0.2287
R1_report_full_test,Current-only,6,734,0.6408,0.3365
R1_report_full_test,Current-only,7,104,0.7302,0.3365
R1_report_full_test,Current-only,8,2,0.8071,1.0
R1_report_full_test,Difference-only,0,11,0.0722,0.0909
R1_report_full_test,Difference-only,1,143,0.1631,0.0909
R1_report_full_test,Difference-only,2,469,0.2596,0.1258
R1_report_full_test,Difference-only,3,994,0.3541,0.1288
R1_report_full_test,Difference-only,4,1422,0.4498,0.2032
R1_report_full_test,Difference-only,5,1260,0.5462,0.2413
R1_report_full_test,Difference-only,6,686,0.6451,0.3615
R1_report_full_test,Difference-only,7,277,0.7404,0.4549
R1_report_full_test,Difference-only,8,77,0.8342,0.3766
R1_report_full_test,Difference-only,9,2,0.9328,1.0
R1_report_full_test,Temporal,0,18,0.07,0.0556
R1_report_full_test,Temporal,1,173,0.1625,0.0925
R1_report_full_test,Temporal,2,515,0.2569,0.101
R1_report_full_test,Temporal,3,1004,0.3544,0.1414
R1_report_full_test,Temporal,4,1289,0.451,0.1707
R1_report_full_test,Temporal,5,1201,0.5454,0.2689
R1_report_full_test,Temporal,6,729,0.644,0.3635
R1_report_full_test,Temporal,7,323,0.7411,0.4241
R1_report_full_test,Temporal,8,85,0.8355,0.4824
R1_report_full_test,Temporal,9,4,0.9194,0.5
R2_report_same500,Current-only,2,20,0.2599,0.0
R2_report_same500,Current-only,3,90,0.3645,0.1778
R2_report_same500,Current-only,4,169,0.4571,0.2071
R2_report_same500,Current-only,5,157,0.547,0.2229
R2_report_same500,Current-only,6,57,0.6322,0.386
R2_report_same500,Current-only,7,7,0.7321,0.5714
R2_report_same500,Difference-only,0,2,0.0887,0.0
R2_report_same500,Difference-only,1,16,0.1579,0.0
R2_report_same500,Difference-only,2,55,0.2598,0.1455
R2_report_same500,Difference-only,3,69,0.3576,0.1449
R2_report_same500,Difference-only,4,145,0.4548,0.2138
R2_report_same500,Difference-only,5,116,0.551,0.2155
R2_report_same500,Difference-only,6,70,0.6445,0.4
R2_report_same500,Difference-only,7,19,0.7294,0.3684
R2_report_same500,Difference-only,8,7,0.8282,0.2857
R2_report_same500,Difference-only,9,1,0.9427,1.0
R2_report_same500,Temporal,0,2,0.081,0.0
R2_report_same500,Temporal,1,21,0.1588,0.0476
R2_report_same500,Temporal,2,44,0.2527,0.0909
R2_report_same500,Temporal,3,81,0.3518,0.1605
R2_report_same500,Temporal,4,130,0.4511,0.2
R2_report_same500,Temporal,5,118,0.5417,0.2373
R2_report_same500,Temporal,6,69,0.6438,0.3478
R2_report_same500,Temporal,7,29,0.7356,0.4138
R2_report_same500,Temporal,8,5,0.847,0.6
R2_report_same500,Temporal,9,1,0.9264,1.0
R3_expert_500,Current-only,2,20,0.2599,0.1
R3_expert_500,Current-only,3,90,0.3645,0.2
R3_expert_500,Current-only,4,169,0.4571,0.2426
R3_expert_500,Current-only,5,157,0.547,0.3567
R3_expert_500,Current-only,6,57,0.6322,0.4912
R3_expert_500,Current-only,7,7,0.7321,0.7143
R3_expert_500,Difference-only,0,2,0.0887,0.0
R3_expert_500,Difference-only,1,16,0.1579,0.0
R3_expert_500,Difference-only,2,55,0.2598,0.0727
R3_expert_500,Difference-only,3,69,0.3576,0.1449
R3_expert_500,Difference-only,4,145,0.4548,0.2345
R3_expert_500,Difference-only,5,116,0.551,0.3362
R3_expert_500,Difference-only,6,70,0.6445,0.5857
R3_expert_500,Difference-only,7,19,0.7294,0.7895
R3_expert_500,Difference-only,8,7,0.8282,0.8571
R3_expert_500,Difference-only,9,1,0.9427,1.0
R3_expert_500,Temporal,0,2,0.081,0.0
R3_expert_500,Temporal,1,21,0.1588,0.0
R3_expert_500,Temporal,2,44,0.2527,0.0227
R3_expert_500,Temporal,3,81,0.3518,0.0741
R3_expert_500,Temporal,4,130,0.4511,0.2538
R3_expert_500,Temporal,5,118,0.5417,0.3814
R3_expert_500,Temporal,6,69,0.6438,0.5942
R3_expert_500,Temporal,7,29,0.7356,0.6207
R3_expert_500,Temporal,8,5,0.847,1.0
R3_expert_500,Temporal,9,1,0.9264,1.0
