reference,model,pca,n,positives,prevalence,auc,auc_lo,auc_hi,ap,ap_lo,ap_hi,partial_auc_80_100,brier,threshold,tp,fp,tn,fn,sensitivity,specificity,ppv,npv,f1,balanced_accuracy
R1_report_full_test,Current-only,128,5341,1199,0.2245,0.5839,0.5655,0.6018,0.2843,0.2634,0.3066,0.2636,0.2457,0.5456,477,1184,2958,722,0.3978,0.7141,0.2872,0.8038,0.3336,0.556
R1_report_full_test,Difference-only,128,5341,1199,0.2245,0.6542,0.6364,0.6724,0.3482,0.3236,0.375,0.3572,0.231,0.4564,852,2043,2099,347,0.7106,0.5068,0.2943,0.8581,0.4162,0.6087
R1_report_full_test,Temporal,128,5341,1199,0.2245,0.6679,0.65,0.6854,0.3577,0.3329,0.3849,0.3627,0.2294,0.5059,743,1499,2643,456,0.6197,0.6381,0.3314,0.8529,0.4319,0.6289
R2_report_same500,Current-only,128,500,112,0.224,0.5979,0.5386,0.6558,0.3128,0.2438,0.3982,0.222,0.2386,0.5456,38,102,286,74,0.3393,0.7371,0.2714,0.7944,0.3016,0.5382
R2_report_same500,Difference-only,128,500,112,0.224,0.6427,0.5836,0.7008,0.3461,0.2707,0.432,0.2894,0.2323,0.4564,77,202,186,35,0.6875,0.4794,0.276,0.8416,0.3939,0.5834
R2_report_same500,Temporal,128,500,112,0.224,0.6543,0.5957,0.712,0.3691,0.2881,0.4605,0.3056,0.2297,0.5059,66,142,246,46,0.5893,0.634,0.3173,0.8425,0.4125,0.6117
R3_expert_500,Current-only,128,500,150,0.3,0.6434,0.5928,0.6958,0.4335,0.3624,0.5194,0.3303,0.2331,0.5456,56,84,266,94,0.3733,0.76,0.4,0.7389,0.3862,0.5667
R3_expert_500,Difference-only,128,500,150,0.3,0.7678,0.7218,0.811,0.6154,0.5309,0.6923,0.4298,0.2041,0.4564,118,161,189,32,0.7867,0.54,0.4229,0.8552,0.5501,0.6633
R3_expert_500,Temporal,128,500,150,0.3,0.7845,0.7416,0.8242,0.5965,0.5123,0.6776,0.4144,0.2,0.5059,104,104,246,46,0.6933,0.7029,0.5,0.8425,0.581,0.6981
