pca,reference,contrast,d_auc,lo,hi,d_ap,ap_lo,ap_hi,delong_p,sig
64,R1_report_full_test,temporal_minus_difference,0.0044,-0.0016,0.0104,0.011,0.0034,0.0188,0.1555765586259098,False
64,R1_report_full_test,temporal_minus_current,0.0731,0.0545,0.0914,,,,1.576077924276408e-14,True
64,R2_report_same500,temporal_minus_difference,0.0091,-0.0113,0.03,0.0226,-0.0024,0.0494,0.3875761027029453,False
64,R2_report_same500,temporal_minus_current,0.0107,-0.0481,0.0699,,,,0.7258877392570378,False
64,R3_expert_500,temporal_minus_difference,0.012,-0.0075,0.031,0.0279,-0.0015,0.0583,0.22661723817583257,False
64,R3_expert_500,temporal_minus_current,0.098,0.0434,0.153,,,,0.0005127631282414204,True
128,R1_report_full_test,temporal_minus_difference,0.0137,0.0065,0.0212,0.0095,0.0003,0.0191,0.0002748844780470349,True
128,R1_report_full_test,temporal_minus_current,0.084,0.066,0.102,,,,5.571690000008819e-20,True
128,R2_report_same500,temporal_minus_difference,0.0116,-0.0143,0.0363,0.023,-0.0075,0.0575,0.37203227402126404,False
128,R2_report_same500,temporal_minus_current,0.0564,-0.0021,0.1137,,,,0.0613201144171935,False
128,R3_expert_500,temporal_minus_difference,0.0166,-0.0086,0.0409,-0.0189,-0.0606,0.0234,0.1825769833867812,False
128,R3_expert_500,temporal_minus_current,0.141,0.0889,0.1924,,,,2.2516629143864987e-07,True
256,R1_report_full_test,temporal_minus_difference,0.0125,0.0042,0.0212,0.0047,-0.0053,0.0144,0.0037985884962194157,True
256,R1_report_full_test,temporal_minus_current,0.0848,0.0671,0.103,,,,1.7020663386952594e-19,True
256,R2_report_same500,temporal_minus_difference,0.0183,-0.0086,0.0459,0.0183,-0.0136,0.0516,0.19789979249155643,False
256,R2_report_same500,temporal_minus_current,0.0511,-0.011,0.1144,,,,0.1095776114096555,False
256,R3_expert_500,temporal_minus_difference,0.0414,0.0169,0.067,0.0259,-0.0144,0.0676,0.0010386752323454233,True
256,R3_expert_500,temporal_minus_current,0.1878,0.1308,0.2446,,,,1.0907756257451306e-10,True
