pca,reference,model,auc,ap
64,R1_report_full_test,Current-only,0.5877,0.2869
64,R1_report_full_test,Difference-only,0.6565,0.3524
64,R1_report_full_test,Temporal,0.6608,0.3634
64,R2_report_same500,Current-only,0.6261,0.3382
64,R2_report_same500,Difference-only,0.6277,0.3343
64,R2_report_same500,Temporal,0.6368,0.357
64,R3_expert_500,Current-only,0.6646,0.4491
64,R3_expert_500,Difference-only,0.7506,0.5793
64,R3_expert_500,Temporal,0.7626,0.6072
128,R1_report_full_test,Current-only,0.5839,0.2843
128,R1_report_full_test,Difference-only,0.6542,0.3482
128,R1_report_full_test,Temporal,0.6679,0.3577
128,R2_report_same500,Current-only,0.5979,0.3128
128,R2_report_same500,Difference-only,0.6427,0.3461
128,R2_report_same500,Temporal,0.6543,0.3691
128,R3_expert_500,Current-only,0.6434,0.4335
128,R3_expert_500,Difference-only,0.7678,0.6154
128,R3_expert_500,Temporal,0.7845,0.5965
256,R1_report_full_test,Current-only,0.5749,0.2761
256,R1_report_full_test,Difference-only,0.6472,0.3441
256,R1_report_full_test,Temporal,0.6597,0.3488
256,R2_report_same500,Current-only,0.5997,0.3131
256,R2_report_same500,Difference-only,0.6325,0.3507
256,R2_report_same500,Temporal,0.6508,0.3691
256,R3_expert_500,Current-only,0.6207,0.4009
256,R3_expert_500,Difference-only,0.7671,0.6002
256,R3_expert_500,Temporal,0.8085,0.6261
