reference,contrast,d_auc,d_auc_lo,d_auc_hi,d_ap,d_ap_lo,d_ap_hi,delong_z,delong_p,perm_p,holm_p
R1_report_full_test,temporal_minus_difference,0.0137,0.0065,0.0212,0.0095,0.0003,0.0191,3.6379,0.0002748844780470349,0.00034998250087495624,0.0013744223902351744
R1_report_full_test,temporal_minus_current,0.084,0.066,0.102,0.0734,0.0531,0.095,9.1523,5.571690000008819e-20,4.999750012499375e-05,5.014521000007937e-19
R1_report_full_test,difference_minus_current,0.0703,0.05,0.091,0.0639,0.0412,0.0874,6.7076,1.9789393285040073e-11,4.999750012499375e-05,1.5831514628032058e-10
R2_report_same500,temporal_minus_difference,0.0116,-0.0143,0.0363,0.023,-0.0075,0.0575,0.8927,0.37203227402126404,0.36683165841707915,0.5477309501603436
R2_report_same500,temporal_minus_current,0.0564,-0.0021,0.1137,0.0563,-0.0221,0.1276,1.8712,0.0613201144171935,0.06494675266236688,0.245280457668774
R2_report_same500,difference_minus_current,0.0448,-0.0217,0.111,0.0333,-0.0538,0.1111,1.3032,0.19249436870955616,0.19594020298985051,0.5477309501603436
R3_expert_500,temporal_minus_difference,0.0166,-0.0086,0.0409,-0.0189,-0.0606,0.0234,1.3329,0.1825769833867812,0.18069096545172741,0.5477309501603436
R3_expert_500,temporal_minus_current,0.141,0.0889,0.1924,0.163,0.0801,0.2356,5.1773,2.2516629143864987e-07,4.999750012499375e-05,1.5761640400705492e-06
R3_expert_500,difference_minus_current,0.1244,0.0623,0.186,0.1818,0.0881,0.2637,3.9221,8.776422844542005e-05,4.999750012499375e-05,0.0005265853706725202
