reference,model,n,prevalence,auc,auc_lo,auc_hi,ap,ap_lo,ap_hi
R1_report_full_test,Current-only,5341,0.2245,0.5839,0.5655,0.6018,0.2843,0.2634,0.3066
R1_report_full_test,Difference-only,5341,0.2245,0.6542,0.6364,0.6724,0.3482,0.3236,0.375
R1_report_full_test,Temporal,5341,0.2245,0.6679,0.65,0.6854,0.3577,0.3329,0.3849
R2_report_same500,Current-only,500,0.224,0.5979,0.5386,0.6558,0.3128,0.2438,0.3982
R2_report_same500,Difference-only,500,0.224,0.6427,0.5836,0.7008,0.3461,0.2707,0.432
R2_report_same500,Temporal,500,0.224,0.6543,0.5957,0.712,0.3691,0.2881,0.4605
R3_expert_500,Current-only,500,0.3,0.6434,0.5928,0.6958,0.4335,0.3624,0.5194
R3_expert_500,Difference-only,500,0.3,0.7678,0.7218,0.811,0.6154,0.5309,0.6923
R3_expert_500,Temporal,500,0.3,0.7845,0.7416,0.8242,0.5965,0.5123,0.6776
